Geo Point;Geo Shape;id_ref_ZdA;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.982265831006925, -1.3609773485899577;"{""coordinates"": [-1.360977348589958, -5.982265831006925], ""type"": ""Point""}";44508;706;PORTE D'ORLÉANS;Pte d'Orléans;METRO;;A01537;METRO 4;METRO 4-104079;4;351.26997188;235.96227678
-5.980777133518616, -1.3609639929729165;"{""coordinates"": [-1.360963992972916, -5.980777133518616], ""type"": ""Point""}";44937;851;THÉÂTRE GÉRARD PHILIPPE;Théâtre Gérard Philippe;TRAM;;A01191;TRAM 1;TRAM 1-1001;1;366.58546916;474.15406356
-5.9807706423714215, -1.360389953772599;"{""coordinates"": [-1.360389953772599, -5.980770642371422], ""type"": ""Point""}";46119;807;STADE GÉO ANDRÉ;Stade Géo André;TRAM;;A01191;TRAM 1;TRAM 1-1009;1;458.64275825;470.10717015
-5.9808400808758355, -1.3602704986207736;"{""coordinates"": [-1.360270498620774, -5.980840080875836], ""type"": ""Point""}";42866;243;DRANCY-AVENIR;Drancy-Avenir;TRAM;;A01191;TRAM 1;TRAM 1-1013;1;477.17323311;457.93330099
-5.980862229638569, -1.360247507437495;"{""coordinates"": [-1.360247507437495, -5.980862229638569], ""type"": ""Point""}";43373;349;HÔPITAL AVICENNE;Hôpital Avicenne;TRAM;;A01191;TRAM 1;TRAM 1-1014;1;480.66199632;454.18410863
-5.981001291665478, -1.360165959648537;"{""coordinates"": [-1.360165959648537, -5.981001291665478], ""type"": ""Point""}";42345;78;BOBIGNY-PABLO PICASSO;Bobigny-Pablo Picasso;TRAM;;A01191;TRAM 1;TRAM 1-105037;1;492.50099525;431.20084956
-5.982848004674986, -1.362250360079443;"{""coordinates"": [-1.362250360079443, -5.982848004674986], ""type"": ""Point""}";43220;885;VERSAILLES CHATEAU RIVE GAUCHE;Versailles Chateau R.G.;RER;RER C;A01840;RER C;RER C-75;C;142.08982243;154.04812661
-5.982895897156639, -1.362246111070016;"{""coordinates"": [-1.362246111070016, -5.982895897156639], ""type"": ""Point""}";43219;928;VERSAILLES-CHANTIERS;Versailles-Chantiers;TRAIN;;A01855;TRAIN U;TRAIN U-108;U;142.34668029;146.34376635
-5.982913390464744, -1.3622451147339176;"{""coordinates"": [-1.362245114733918, -5.982913390464744], ""type"": ""Point""}";43219;886;VERSAILLES-CHANTIERS;Versailles-Chantiers;TRAIN;;A01847;TRAIN N;TRAIN N-108;N;142.35163616;143.5344564
-5.982930877390608, -1.3622441202738307;"{""coordinates"": [-1.362244120273831, -5.982930877390608], ""type"": ""Point""}";43219;887;VERSAILLES-CHANTIERS;Versailles-Chantiers;RER;;A01840;RER C;RER C-108;C;142.35627469;140.72629075
-5.98297452768532, -1.362601699697818;"{""coordinates"": [-1.362601699697818, -5.98297452768532], ""type"": ""Point""}";43249;938;ST-QUENTIN-EN-YVELINES;St-Quentin-en-Yvelines;TRAIN;;A01847;TRAIN N;TRAIN N-80;N;84.65969841;136.90813384
-5.983304199596674, -1.362896964261124;"{""coordinates"": [-1.362896964261124, -5.983304199596674], ""type"": ""Point""}";43185;720;RAMBOUILLET;Rambouillet;TRAIN;TRAIN N;A01847;TRAIN N;TRAIN N-101;N;34.41809082;86.75048828
-5.983420121644496, -1.3597854198825692;"{""coordinates"": [-1.359785419882569, -5.983420121644496], ""type"": ""Point""}";47909;531;MELUN;Melun;TRAIN;;A01845;TRAIN R;TRAIN R-49;R;532.08865124;40.62074829
-5.980166362024786, -1.359553054991144;"{""coordinates"": [-1.359553054991144, -5.980166362024786], ""type"": ""Point""}";43164;550;MITRY-CLAYE;Mitry-Claye;TRAIN;;A02175;TRAIN K;TRAIN K-34;K;598.11680542;559.4251602
-5.979979460724973, -1.3611442208091262;"{""coordinates"": [-1.361144220809126, -5.979979460724973], ""type"": ""Point""}";9999;9999;PERSAN-BEAUMONT;Persan-Beaumont;TRAIN;TRAIN H;A01849;TRAIN H;TRAIN H-999999;H;344.76019287;603.43981934
-5.980261862363443, -1.3625597989331169;"{""coordinates"": [-1.362559798933117, -5.980261862363443], ""type"": ""Point""}";47599;833;ST-OUEN-L'AUMONE;St-Ouen-l'Aumone;TRAIN;;A01849;TRAIN H;TRAIN H-250;H;115.39096375;570.77894824
-5.98026887988217, -1.3623721881127178;"{""coordinates"": [-1.362372188112718, -5.98026887988217], ""type"": ""Point""}";43150;960;SAINT-OUEN-L' AUMONE-LIESSE;Saint-Ouen-l' Aumone-Liesse;RER;;A01840;RER C;RER C-458;C;145.39658957;567.99267308
-5.980385001187314, -1.3618818535158383;"{""coordinates"": [-1.361881853515838, -5.980385001187314], ""type"": ""Point""}";43126;292;FRANCONVILLE-LE-PLESSIS-BOUCHARD;Franconville - Le-Plessis-Bouchard;RER;;A01840;RER C;RER C-229;C;222.95297347;545.05883752
-5.979974663981429, -1.3613743943072067;"{""coordinates"": [-1.361374394307207, -5.979974663981429], ""type"": ""Point""}";47589;470;L'ISLE-ADAM-PARMAIN;L'Isle-Adam-Parmain;TRAIN;;A01849;TRAIN H;TRAIN H-273;H;307.91349668;606.24709738
-5.980275000456233, -1.3627966622333765;"{""coordinates"": [-1.362796662233376, -5.980275000456233], ""type"": ""Point""}";44496;675;PONTOISE;Pontoise;TRAIN;TRAIN H;A01849;TRAIN H;TRAIN H-249;H;77.31329625;570.77535715
-5.9814661002097145, -1.3612855279222735;"{""coordinates"": [-1.361285527922274, -5.981466100209714], ""type"": ""Point""}";58566;1016;ST-LAZARE;St-Lazare;TRAIN;TRAIN J;A01852;TRAIN J;TRAIN J-329;J;308.95600223;366.7141652
-5.981363034937688, -1.361020901311551;"{""coordinates"": [-1.361020901311551, -5.981363034937688], ""type"": ""Point""}";43233;328;GARE DU NORD;Gare du Nord;TRAIN;TRAIN H;A01849;TRAIN H;TRAIN H-384;H;352.27961705;380.86806191
-5.981361137701669, -1.3609861906347127;"{""coordinates"": [-1.360986190634713, -5.981361137701669], ""type"": ""Point""}";43233;309;GARE DU NORD;Gare du Nord;RER;;A01857;RER B;RER B-384;B;357.85937704;380.86412829
-5.981831966232142, -1.3607160252109072;"{""coordinates"": [-1.360716025210907, -5.981831966232142], ""type"": ""Point""}";43153;306;GARE DE LYON;Gare de Lyon;RER;;A01856;RER A;RER A-338;A;396.99195256;303.10042911
-5.982157871093805, -1.361129554017678;"{""coordinates"": [-1.361129554017678, -5.982157871093805], ""type"": ""Point""}";43238;561;MONTPARNASSE;Montparnasse;TRAIN;TRAIN N;A01847;TRAIN N;TRAIN N-285;N;327.83128037;254.59347041
-5.98255818608288, -1.3609414661085597;"{""coordinates"": [-1.36094146610856, -5.98255818608288], ""type"": ""Point""}";43067;22;ARCUEIL-CACHAN;Arcueil-Cachan;RER;;A01857;RER B;RER B-309;B;354.43366252;188.84369268
-5.98212160646859, -1.3607728155319545;"{""coordinates"": [-1.360772815531955, -5.98212160646859], ""type"": ""Point""}";44371;653;PLACE D'ITALIE;Place d'Italie;METRO;;A01539;METRO 6;METRO 6-105081;6;385.32696751;257.23764226
-5.981630091955164, -1.361177943877101;"{""coordinates"": [-1.361177943877101, -5.981630091955164], ""type"": ""Point""}";45873;32;AUBER;Auber;RER;;A01856;RER A;RER A-336;A;324.7470141;339.50922442
-5.981357543704126, -1.3609206521912482;"{""coordinates"": [-1.360920652191248, -5.981357543704126], ""type"": ""Point""}";58572;490;MAGENTA;Magenta;RER;;A01843;RER E;RER E-452;E;368.3949384;380.85873311
-5.981778689811796, -1.3599406120643078;"{""coordinates"": [-1.359940612064308, -5.981778689811796], ""type"": ""Point""}";47900;868;VAL-DE-FONTENAY;Val-de-Fontenay;RER;;A01843;RER E;RER E-355;E;521.7387258;304.75936305
-5.980484802476715, -1.3615453113746543;"{""coordinates"": [-1.361545311374654, -5.980484802476715], ""type"": ""Point""}";47898;266;ERMONT-EAUBONNE;Ermont-Eaubonne;TRAIN;;A01849;TRAIN H;TRAIN H-223;H;276.00609407;526.10049694
-5.982943775471058, -1.3624775210389162;"{""coordinates"": [-1.362477521038916, -5.982943775471058], ""type"": ""Point""}";46990;814;SAINT-CYR;St-Cyr;RER;0;A01840;RER C;RER C-79;C;104.83431365;140.73030708
-5.981532357702387, -1.3619492633081374;"{""coordinates"": [-1.361949263308137, -5.981532357702387], ""type"": ""Point""}";43184;932;PUTEAUX;Puteaux;TRAIN;;A01855;TRAIN U;TRAIN U-379;U;201.99317525;361.98957837
-5.982111303028862, -1.3619174659560072;"{""coordinates"": [-1.361917465956007, -5.982111303028862], ""type"": ""Point""}";43196;929;SAINT-CLOUD;St-Cloud;TRAIN;;A01855;TRAIN U;TRAIN U-376;U;201.96465425;269.03018239
-5.982112099610181, -1.3619349673857195;"{""coordinates"": [-1.36193496738572, -5.982112099610181], ""type"": ""Point""}";43196;812;ST-CLOUD;St-Cloud;TRAIN;;A02176;TRAIN L;TRAIN L-376;L;199.15251572;269.05766744
-5.980991607558612, -1.3610239020044237;"{""coordinates"": [-1.361023902004424, -5.980991607558612], ""type"": ""Point""}";43204;806;STADE DE FRANCE-ST-DENIS;Stade de France-St-Denis;RER;;A01842;RER D;RER D-451;D;355.08581669;440.35218227
-5.982908791632081, -1.3624794534912021;"{""coordinates"": [-1.362479453491202, -5.982908791632081], ""type"": ""Point""}";46990;927;SAINT-CYR;St-Cyr;TRAIN;0;A01855;TRAIN U;TRAIN U-79;U;104.8342671;146.34778166
-5.9814391459988965, -1.3619545113168816;"{""coordinates"": [-1.361954511316882, -5.981439145998896], ""type"": ""Point""}";43536;933;LA DEFENSE-GRANDE ARCHE;La Defense-Grande Arche;TRAIN;TRAIN U;A01855;TRAIN U;TRAIN U-390;U;201.97713491;376.95734798
-5.982141835238091, -1.3609662708457966;"{""coordinates"": [-1.360966270845797, -5.982141835238091], ""type"": ""Point""}";42835;236;DENFERT-ROCHEREAU;Denfert-Rochereau;METRO;;A01537;METRO 4;METRO 4-297;4;354.14273326;255.71363587
