Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
48.8536241272, 2.53913397247;"{""coordinates"": [2.539133972470132, 48.8536241272153, 0.0], ""type"": ""Point""}";93;PORT DE PLAISANCE LA HAUTE-ILE;NEUILLY-SUR-MARNE;93050;Port de plaisance de Neuilly-sur-Marne;Haltes, escales ou ports fluviaux de plaisance;528
48.9413423015, 2.34090092713;"{""coordinates"": [2.340900927130749, 48.941342301486216, 0.0], ""type"": ""Point""}";93;FACE STADE DE FRANCE;SAINT-DENIS;93066;Halte de plaisance;Haltes, escales ou ports fluviaux de plaisance;529
48.8004414906, 2.60764450731;"{""coordinates"": [2.607644507308192, 48.80044149064853, -100000.0], ""type"": ""Point""}";77;107 AVENUE DE LA REPUBLIQUE;PONTAULT COMBAULT;77373;;Offices du tourisme et syndicats d'initiative;560
48.5614627264, 3.28289933815;"{""coordinates"": [3.282899338153899, 48.56146272643659, -100000.0], ""type"": ""Point""}";77;CHEMIN DE VILLECRAN;PROVINS;77379;;Offices du tourisme et syndicats d'initiative;561
48.7050333621, 1.98603150667;"{""coordinates"": [1.986031506665248, 48.7050333621041, -100000.0], ""type"": ""Point""}";78;9 GRANDE RUE;DAMPIERRE EN YVELINES;78193;;Offices du tourisme et syndicats d'initiative;567
48.5724637571, 1.93878013188;"{""coordinates"": [1.938780131877077, 48.572463757122485, -100000.0], ""type"": ""Point""}";78;"L ORANGERIE, RUE DES REMPARTS
Saint ARNOULT EN YVELINES";SAINT ARNOULT EN YVELINES;78537;;Offices du tourisme et syndicats d'initiative;576
48.5292638278, 2.01109944891;"{""coordinates"": [2.011099448910801, 48.529263827815875, -100000.0], ""type"": ""Point""}";91;PLACE DU GENERAL DE GAULLE;DOURDAN;91200;;Offices du tourisme et syndicats d'initiative;585
48.8355163583, 2.2401150852;"{""coordinates"": [2.240115085202388, 48.83551635834049, -100000.0], ""type"": ""Point""}";92;25 RUE ANDRE MORIZET;BOULOGNE BILLANCOURT;92012;;Offices du tourisme et syndicats d'initiative;597
48.857862703, 2.43692048536;"{""coordinates"": [2.436920485362343, 48.85786270295908, -100000.0], ""type"": ""Point""}";93;1 RUE KLEBER;MONTREUIL;93048;;Offices du tourisme et syndicats d'initiative;610
48.9096759931, 2.33289997773;"{""coordinates"": [2.33289997772709, 48.90967599311845, -100000.0], ""type"": ""Point""}";93;30 AVENUE GABRIEL PERI;SAINT-OUEN;93070;;Offices du tourisme et syndicats d'initiative;613
49.1323066123, 2.35497515785;"{""coordinates"": [2.354975157845226, 49.1323066123154, -100000.0], ""type"": ""Point""}";95;17, RUE PIERRE BROSSOLETTE;ASNIERES SUR OISE;95026;;Offices du tourisme et syndicats d'initiative;622
48.9691955989, 2.30520749499;"{""coordinates"": [2.305207494994459, 48.9691955988971, -100000.0], ""type"": ""Point""}";95;81, RUE DU GENERAL DE GAULLE;ENGHIEN LES BAINS;95210;;Offices du tourisme et syndicats d'initiative;625
48.8298181878, 2.80662207781;"{""coordinates"": [2.806622077806383, 48.82981818778581, -100000.0], ""type"": ""Point""}";77;route de camp davy crockett;VILLENEUVE LE COMTE;77508;Parcours aventure Davy Crockett;Espace de loisirs, espace récréatif;648
48.8403725258, 2.34143825158;"{""coordinates"": [2.341438251582337, 48.840372525787274, 0.0], ""type"": ""Point""}";75;1 PLACE ALPHONSE LAVERAN;PARIS;75105;Musée du service de santé des armées;Musée et écomusée;668
